title,price,rating,in_stock,category
Burning,28.81,Three,In stock (16 available),Young Adult
Bossypants,49.46,Two,In stock (16 available),Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock (16 available),Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,In stock (16 available),Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock (16 available),Nonfiction
A World of Flavor: Your Gluten Free Passport,42.95,One,In stock (16 available),Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,In stock (16 available),Default
A Murder in Time,16.64,One,In stock (16 available),Mystery
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock (16 available),Historical Fiction
A Fierce and Subtle Poison,28.13,Four,In stock (16 available),Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,In stock (16 available),Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,54,Five,In stock (16 available),Christian
You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock (15 available),Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,In stock (15 available),Science Fiction
Tuesday Nights in 1980,21.04,Two,In stock (15 available),Fiction
Tracing Numbers on a Train,41.6,Three,In stock (15 available),Default
Throne of Glass (Throne of Glass #1),35.07,Three,In stock (15 available),Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock (15 available),History
Thirteen Reasons Why,52.72,One,In stock (15 available),Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four,In stock (15 available),Childrens
The Wedding Dress,24.12,One,In stock (15 available),Romance
The Vacationers,42.15,Four,In stock (15 available),Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five,In stock (15 available),Business
The Stranger,17.44,Four,In stock (15 available),Philosophy
The Shadow Hero (The Shadow Hero),33.14,One,In stock (15 available),Sequential Art
The Secret (The Secret #1),27.37,Four,In stock (15 available),Default
The Regional Office Is Under Attack!,51.36,Five,In stock (15 available),Fiction
The Psychopath Test: A Journey Through the Madness Industry,36,Two,In stock (15 available),Default
The Project,10.65,One,In stock (15 available),Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock (15 available),Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock (15 available),Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,In stock (15 available),Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock (15 available),Mystery
The Mistake (Off-Campus #2),43.29,Three,In stock (15 available),New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,In stock (15 available),New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,In stock (15 available),Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,In stock (15 available),Crime
The Kite Runner,41.82,Four,In stock (15 available),Default
The House by the Lake,36.95,One,In stock (15 available),Historical Fiction
The Glittering Court (The Glittering Court #1),44.28,One,In stock (15 available),Fantasy
The Girl on the Train,55.02,Two,In stock (15 available),Default
The Genius of Birds,17.24,One,In stock (15 available),Nonfiction
The Emerald Mystery,23.15,Two,In stock (15 available),Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock (15 available),Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32,Three,In stock (15 available),Default
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock (15 available),Nonfiction
The Art of War,33.34,Five,In stock (15 available),Default
The Argonauts,10.93,Two,In stock (15 available),Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock (15 available),Business
Suddenly in Love (Lake Haven #1),55.99,Two,In stock (15 available),Romance
Something More Than This,16.24,Four,In stock (15 available),Romance
Soft Apocalypse,26.12,Two,In stock (15 available),Science Fiction
So You've Been Publicly Shamed,12.23,Two,In stock (15 available),Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock (15 available),Business
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock (15 available),Add a comment
Secrets and Lace (Fatal Hearts #1),20.27,One,In stock (15 available),Default
Scarlett Epstein Hates It Here,43.55,Five,In stock (15 available),Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock (15 available),Default
Redeeming Love,20.47,Five,In stock (15 available),Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock (15 available),Default
Poems That Make Grown Women Cry,14.19,Four,In stock (15 available),Poetry
"Nightingale, Sing",38.28,One,In stock (15 available),Young Adult
Night Sky with Exit Wounds,41.05,One,In stock (15 available),Poetry
Mrs. Houdini,30.25,Five,In stock (15 available),Historical Fiction
Modern Romance,28.26,Five,In stock (15 available),Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,One,In stock (15 available),Default
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock (15 available),Biography
Little Red,13.47,Three,In stock (15 available),Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five,In stock (15 available),Young Adult
Large Print Heart of the Pride,19.15,Two,In stock (15 available),Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock (15 available),Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One,In stock (15 available),Fantasy
Grumbles,22.16,Two,In stock (15 available),Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock (15 available),Travel
Frostbite (Vampire Academy #2),29.99,Five,In stock (15 available),Young Adult
Follow You Home,21.36,One,In stock (15 available),Horror
First Steps for New Christians (Print Edition),29,One,In stock (15 available),Default
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock (15 available),Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock (15 available),Sequential Art
Eureka Trivia 6.0,54.59,Four,In stock (15 available),Default
Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock (15 available),Default
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock (15 available),Default
Doing It Over (Most Likely To #1),35.61,Three,In stock (15 available),Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock (15 available),Food and Drink
